統一編號,name,address,公司狀態,money,lat,lng
3795904,台灣電力股份有限公司,臺北市中正區羅斯福路3段242號,,3300,25.0172116,121.5307067
22099131,台灣積體電路製造股份有限公司,新竹科學工業園區新竹市力行六路8號,1,2593,24.7730433,121.0128003
80333992,中國信託金融控股股份有限公司,臺北市南港區經貿二路168號27樓、29樓,1,1949,25.0587249,121.6165477
4541302,鴻海精密工業股份有限公司,新北市土城區中山路66號,1,1732,24.969233,121.431703
30414175,中國鋼鐵股份有限公司,高雄市小港區中鋼路1號,1,1577,22.5543912,120.3488566
70827383,中華開發金融控股股份有限公司,臺北市松山區南京東路5段125號12樓,1,1497,25.051756,121.560927
52242444,台灣自來水股份有限公司,臺中市北區樂英里14鄰雙十路2段2之1號,1,1375,24.150446,120.6882135
70796754,兆豐金融控股股份有限公司,臺北市中正區忠孝東路2段123號14至17樓、20樓至21樓,1,1359,25.0427024,121.5321974
70827406,國泰金融控股股份有限公司,臺北市大安區仁愛路4段296號,1,1339,25.0374136,121.5535465
3707901,台灣中油股份有限公司,高雄市楠梓區宏南里左楠路2號,1,1301,22.7042341,120.302727
